2024-12-30 12:47:02 INFO log.py: Yasb - Yet Another Status Bar
2024-12-30 12:47:02 DEBUG __init__.py: CoInitializeEx(None, 2)
2024-12-30 12:47:03 DEBUG unknwn.py: Release <POINTER(IMMDeviceEnumerator) ptr=0x232dbdb9410 at 232dd202250>
2024-12-30 12:47:03 DEBUG win32.py: Looking up time zone info from registry
2024-12-31 11:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 11:47:38.182593
2024-12-31 11:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 11:47:38.220539
2024-12-31 11:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 11:47:38.258519
2024-12-31 12:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 12:17:38.411313
2024-12-31 12:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 12:17:38.451446
2024-12-31 12:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 12:17:38.724171
2024-12-31 12:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 12:47:38.387469
2024-12-31 12:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 12:47:38.422510
2024-12-31 12:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 12:47:38.459919
2024-12-31 13:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 13:17:38.569464
2024-12-31 13:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 13:17:38.599722
2024-12-31 13:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 13:17:38.630199
2024-12-31 13:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 13:47:38.107919
2024-12-31 13:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 13:47:38.141929
2024-12-31 13:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 13:47:38.173185
2024-12-31 14:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 14:17:38.499963
2024-12-31 14:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 14:17:38.538825
2024-12-31 14:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 14:17:38.586005
2024-12-31 14:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 14:47:38.221643
2024-12-31 14:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 14:47:38.254509
2024-12-31 14:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 14:47:38.285244
2024-12-31 15:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 15:17:38.455136
2024-12-31 15:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 15:17:38.485139
2024-12-31 15:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 15:17:38.515153
2024-12-31 15:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 15:47:38.563808
2024-12-31 15:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 15:47:38.594807
2024-12-31 15:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 15:47:38.626195
2024-12-31 16:17:39 INFO weather.py: Fetched new weather data at 2024-12-31 16:17:39.607900
2024-12-31 16:17:39 INFO weather.py: Fetched new weather data at 2024-12-31 16:17:39.638409
2024-12-31 16:17:39 INFO weather.py: Fetched new weather data at 2024-12-31 16:17:39.672887
2024-12-31 16:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 16:47:38.166211
2024-12-31 16:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 16:47:38.197379
2024-12-31 16:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 16:47:38.226381
2024-12-31 17:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 17:17:38.683753
2024-12-31 17:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 17:17:38.714751
2024-12-31 17:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 17:17:38.745261
2024-12-31 17:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 17:47:38.704658
2024-12-31 17:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 17:47:38.735660
2024-12-31 17:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 17:47:38.767724
2024-12-31 18:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 18:17:38.169802
2024-12-31 18:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 18:17:38.197806
2024-12-31 18:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 18:17:38.243321
2024-12-31 18:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 18:47:38.192993
2024-12-31 18:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 18:47:38.222860
2024-12-31 18:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 18:47:38.252862
2024-12-31 19:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 19:17:38.547429
2024-12-31 19:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 19:17:38.575936
2024-12-31 19:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 19:17:38.607446
2024-12-31 19:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 19:47:38.222424
2024-12-31 19:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 19:47:38.251934
2024-12-31 19:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 19:47:38.281942
2024-12-31 20:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 20:17:38.239469
2024-12-31 20:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 20:17:38.267650
2024-12-31 20:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 20:17:38.301118
2024-12-31 20:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 20:47:38.195039
2024-12-31 20:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 20:47:38.226042
2024-12-31 20:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 20:47:38.256552
2024-12-31 21:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 21:17:38.374665
2024-12-31 21:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 21:17:38.405810
2024-12-31 21:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 21:17:38.436812
2024-12-31 21:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 21:47:38.390565
2024-12-31 21:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 21:47:38.419565
2024-12-31 21:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 21:47:38.449075
2024-12-31 22:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 22:17:38.534566
2024-12-31 22:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 22:17:38.564798
2024-12-31 22:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 22:17:38.594800
2024-12-31 22:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 22:47:38.285446
2024-12-31 22:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 22:47:38.315956
2024-12-31 22:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 22:47:38.346959
2024-12-31 23:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 23:17:38.196180
2024-12-31 23:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 23:17:38.225184
2024-12-31 23:17:38 INFO weather.py: Fetched new weather data at 2024-12-31 23:17:38.255219
2024-12-31 23:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 23:47:38.684869
2024-12-31 23:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 23:47:38.713867
2024-12-31 23:47:38 INFO weather.py: Fetched new weather data at 2024-12-31 23:47:38.743384
2025-01-01 00:17:38 INFO weather.py: Fetched new weather data at 2025-01-01 00:17:38.165065
2025-01-01 00:17:38 INFO weather.py: Fetched new weather data at 2025-01-01 00:17:38.193573
2025-01-01 00:17:38 INFO weather.py: Fetched new weather data at 2025-01-01 00:17:38.223577
2025-01-01 00:47:38 INFO weather.py: Fetched new weather data at 2025-01-01 00:47:38.349298
2025-01-01 00:47:38 INFO weather.py: Fetched new weather data at 2025-01-01 00:47:38.377808
2025-01-01 00:47:38 INFO weather.py: Fetched new weather data at 2025-01-01 00:47:38.406808
2025-01-01 01:17:38 INFO weather.py: Fetched new weather data at 2025-01-01 01:17:38.104746
2025-01-01 01:17:38 INFO weather.py: Fetched new weather data at 2025-01-01 01:17:38.134056
2025-01-01 01:17:38 INFO weather.py: Fetched new weather data at 2025-01-01 01:17:38.222746
2025-01-01 12:59:28 INFO weather.py: Fetched new weather data at 2025-01-01 12:59:28.601250
2025-01-01 12:59:32 INFO weather.py: Fetched new weather data at 2025-01-01 12:59:32.223873
2025-01-01 12:59:32 INFO weather.py: Fetched new weather data at 2025-01-01 12:59:32.270237
2025-01-01 13:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 13:29:14.969874
2025-01-01 13:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 13:29:14.999879
2025-01-01 13:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 13:29:15.102945
2025-01-01 13:59:15 INFO weather.py: Fetched new weather data at 2025-01-01 13:59:15.945910
2025-01-01 13:59:15 INFO weather.py: Fetched new weather data at 2025-01-01 13:59:15.975956
2025-01-01 13:59:16 INFO weather.py: Fetched new weather data at 2025-01-01 13:59:16.006466
2025-01-01 14:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 14:29:15.122033
2025-01-01 14:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 14:29:15.152081
2025-01-01 14:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 14:29:15.183084
2025-01-01 14:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 14:59:14.694981
2025-01-01 14:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 14:59:14.728855
2025-01-01 14:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 14:59:14.757854
2025-01-01 15:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 15:29:14.717804
2025-01-01 15:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 15:29:14.759545
2025-01-01 15:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 15:29:14.789346
2025-01-01 15:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 15:59:14.561092
2025-01-01 15:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 15:59:14.598271
2025-01-01 15:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 15:59:14.626989
2025-01-01 16:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 16:29:14.807917
2025-01-01 16:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 16:29:14.878207
2025-01-01 16:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 16:29:14.918945
2025-01-01 16:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 16:59:14.635281
2025-01-01 16:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 16:59:14.667161
2025-01-01 16:59:15 INFO weather.py: Fetched new weather data at 2025-01-01 16:59:15.109403
2025-01-01 17:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 17:29:14.717172
2025-01-01 17:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 17:29:14.748094
2025-01-01 17:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 17:29:14.779231
2025-01-01 17:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 17:59:14.578895
2025-01-01 17:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 17:59:14.642265
2025-01-01 17:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 17:59:14.673815
2025-01-01 18:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 18:29:14.855072
2025-01-01 18:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 18:29:14.884755
2025-01-01 18:29:14 INFO weather.py: Fetched new weather data at 2025-01-01 18:29:14.914425
2025-01-01 18:59:15 INFO weather.py: Fetched new weather data at 2025-01-01 18:59:15.104297
2025-01-01 18:59:15 INFO weather.py: Fetched new weather data at 2025-01-01 18:59:15.165428
2025-01-01 18:59:35 WARNING weather.py: Failed to retrieve weather info
2025-01-01 19:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 19:29:15.527263
2025-01-01 19:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 19:29:15.576139
2025-01-01 19:29:15 INFO weather.py: Fetched new weather data at 2025-01-01 19:29:15.607001
2025-01-01 19:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 19:59:14.637643
2025-01-01 19:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 19:59:14.668727
2025-01-01 19:59:14 INFO weather.py: Fetched new weather data at 2025-01-01 19:59:14.698329
2025-01-01 20:29:16 INFO weather.py: Fetched new weather data at 2025-01-01 20:29:16.172826
2025-01-01 20:29:16 INFO weather.py: Fetched new weather data at 2025-01-01 20:29:16.207699
2025-01-01 20:29:16 INFO weather.py: Fetched new weather data at 2025-01-01 20:29:16.242491
